NAME,ADDRESS,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS,PRIMARY_GPO,SECONDARY_GPO,TOTAL_PATIENT_DAYS,Market_Category
NORTHERN ESSEX COMMUNITY COLLEGE,100 ELLIOTT ST,HAVERHILL,MA,1830,2306.0,25009,ESSEX,1122.0,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,>2000,,,,,Educational Instituions
THE OXFORD FACILITY,689 MAIN ST,HAVERHILL,MA,1830,2643.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,115.0,,,,Healthcare
HAVERHILL CNCL ON AGING SENIOR CENTER,10 WELCOME ST,HAVERHILL,MA,1830,5631.0,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
PHOENIX EAST THERAPEUTIC COMMUNITY-AODA,20 NEWCOMB ST,HAVERHILL,MA,1830,5808.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
HAVERHILL PUBLIC SCHOOL DISTRICT,4 SUMMER ST,HAVERHILL,MA,1830,5836.0,25009,ESSEX,1122.0,SCHOOL DISTRICTS,751-999,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,,Government Services
WHITTIER REHABILITATION HOSPITAL,76 SUMMER ST,HAVERHILL,MA,1830,5814.0,25009,ESSEX,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,,,,,Healthcare
HEALTH-EDUCATION SVC-OTPTNT SBSTNC ABUSE,60 MERRIMACK ST,HAVERHILL,MA,1830,6207.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
PENACOOK PLACE,150 WATER ST,HAVERHILL,MA,1830,6213.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,COMPASS,PUBLIC,>2000,131.0,,,,Healthcare
BAKER KATZ NURSING HOME,194 BOARDMAN ST,HAVERHILL,MA,1830,6405.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,65.0,,,,Healthcare
MERRIMACK VALLEY HOSPITAL TCU,140 LINCOLN AVE,HAVERHILL,MA,1830,6700.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,25.0,,,,Healthcare
LAKEVIEW HOUSE NURSING HOME,PO BOX 1598,HAVERHILL,MA,1831,2298.0,25009,ESSEX,,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,25.0,,,,Healthcare
HANNAH DUSTON HEALTHCARE CENTER,126 MONUMENT ST,HAVERHILL,MA,1832,2527.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,113.0,,,,Healthcare
BALDPATE HOSPITAL,83 BALDPATE RD,GEORGETOWN,MA,1833,2303.0,25009,ESSEX,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,1001 TO 2000,,PREMIER,,,Healthcare
GROVELAND COUNCIL ON AGING,183 MAIN ST,GROVELAND,MA,1834,1377.0,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
GREATER LAWRENCE FAMILY HEALTH CTR-AODA,208 BROADWAY,LAWRENCE,MA,1840,1038.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
HABIT OPCO-SUBSTANCE ABUSE TREATMENT,599 CANAL ST,LAWRENCE,MA,1840,1244.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
FAMILY SERVICE INC-SUBSTANCE ABUSE PRGMS,430 N CANAL ST,LAWRENCE,MA,1840,1246.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
GLFHC-NE CTR FOR HLTHY COMMUNITIES-AODA,101 AMESBURY ST,LAWRENCE,MA,1840,1323.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
GREATER LAWRENCE YWCA CHILDRENS CENTER,38 LAWRENCE ST,LAWRENCE,MA,1840,1409.0,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
MERRIMACK VALLEY YMCA CHILDCARE,40 LAWRENCE ST,LAWRENCE,MA,1840,1412.0,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
LAWRENCE SENIOR CENTER,155 HAVERHILL ST,LAWRENCE,MA,1840,1515.0,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
HEALTH AND EDUCATION SERVICES-SBSTNC ABS,30 GENERAL ST,LAWRENCE,MA,1840,1809.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
PSYCHOLOGICAL CENTER-SUBSTANCE ABUSE SVC,11 UNION ST,LAWRENCE,MA,1840,1815.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
BERKELEY RETIREMENT AND NURSING CENTER,150 BERKELEY ST,LAWRENCE,MA,1841,1224.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,18.0,,,,Healthcare
ESSEX COUNTY SHERIFF DEPT CORR ALT CTR,165 MARSTON ST,LAWRENCE,MA,1841,1526.0,25009,ESSEX,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Government Services
GERMAN HOME,374 HOWARD ST,LAWRENCE,MA,1841,2980.0,25009,ESSEX,1122.0,SENIOR LIVING,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,,,,,Social Clubs
M I ADULT DAY HEALTH CARE CENTER,189 MAPLE ST,LAWRENCE,MA,1841,3761.0,25009,ESSEX,1122.0,ASSISTED LIVING,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,251 TO 500,,,,,Healthcare
MARY IMMACULATE RESTORATIVE CENTER,172 LAWRENCE ST,LAWRENCE,MA,1841,3849.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,222.0,,,,Healthcare
PSYCHOLOGICAL CENTER-WOMENS VIEW-AODA,582 HAVERHILL ST,LAWRENCE,MA,1841,4236.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
PEGASUS HOUSE-PSYCHOLOGICAL CENTER-AODA,482 LOWELL ST,LAWRENCE,MA,1841,4598.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
SUNBRIDGE CARE AND REHAB-WOOD MILL,800 ESSEX ST,LAWRENCE,MA,1841,4617.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,80.0,,,,Healthcare
LAWRENCE GENERAL HOSPITAL,PO BOX 189,LAWRENCE,MA,1842,389.0,25009,ESSEX,,HOSPITALS,1000+,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,ARAMARK,UNCODED,>2000,149.2,VHA Inc,Amerinet Inc,"54,450",Healthcare
LAWRENCE PUBLIC SCHOOL DISTRICT,PO BOX 1498,LAWRENCE,MA,1842,2798.0,25009,ESSEX,,SCHOOL DISTRICTS,UNCODED,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,,Government Services
LITTLE SPROUTS AT THE INDUSTRIAL PARK,20 BALLARD WAY,LAWRENCE,MA,1843,1044.0,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
LATCHKEY COMMUNITY DAYCARE CENTER,32 GROTON ST,LAWRENCE,MA,1843,2616.0,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
SUNBRIDGE CRE AND REHAB-COLONIAL HEIGHTS,555 S UNION ST,LAWRENCE,MA,1843,2815.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,69.0,,,,Healthcare
MSPCC FAMILY COUNSELING CTR-AODA PRGMS,439 S UNION ST,LAWRENCE,MA,1843,2837.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
DAYBREAK SHELTER-SUBSTANCE ABUSE PROGRAM,75 N PARISH RD,LAWRENCE,MA,1843,2930.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
MARSH GRAMMER SCHOOL,309 PELHAM ST,METHUEN,MA,1844,1476.0,25009,ESSEX,1122.0,PRIMARY SCHOOL,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,1001 TO 2000,,,,,Educational Instituions
LITTLE SPROUTS CHILD ENRICHMENT CENTER,13 BRANCH ST,METHUEN,MA,1844,1975.0,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
METHUEN COUNCIL ON AGING SENIOR CENTER,77 LOWELL ST,METHUEN,MA,1844,3613.0,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
CHILDRENS CENTER,35 LOWELL ST,METHUEN,MA,1844,3638.0,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
NEVINS ADULT DAY CARE CENTER,12 INGALLS CT,METHUEN,MA,1844,3712.0,25009,ESSEX,1122.0,ASSISTED LIVING,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,251 TO 500,,,,,Healthcare
METHUEN PUBLIC SCHOOL DISTRICT,10 DITSON PL,METHUEN,MA,1844,3802.0,25009,ESSEX,1122.0,SCHOOL DISTRICTS,251-500,OVER 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
DONALD P TIMONY GRAMMER SCHOOL,45 PLEASANT VIEW ST,METHUEN,MA,1844,3915.0,25009,ESSEX,1122.0,PRIMARY SCHOOL,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,1001 TO 2000,,,,,Educational Instituions
METHUEN HEALTH AND REHAB,480 JACKSON ST,METHUEN,MA,1844,4020.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,87.0,,,,Healthcare
ST ANNS HOME,100A HAVERHILL ST,METHUEN,MA,1844,4251.0,25009,ESSEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
ST BASILS SEMINARY,30 EAST ST,METHUEN,MA,1844,4400.0,25009,ESSEX,1122.0,TECHNICAL AND TRADE SCHOOLS,UNCODED,250 AND LESS,NOT APPLICABLE,NOT APPLICABLE,UNCODED,RELIGIOUS,101 TO 250,,,,,Educational Instituions
ST RAPHAELS TCU AT HOLY FAMILY HOSPITAL,70 EAST ST,METHUEN,MA,1844,4597.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,9.0,,,,Healthcare
SUNBRIDGE CARE AND REHAB-BROADWAY,281 BROADWAY,METHUEN,MA,1844,6804.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,75.0,,,,Healthcare
NORTH ANDOVER SENIOR CENTER,120R MAIN ST,NORTH ANDOVER,MA,1845,2420.0,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
PRESCOTT HOUSE NURSING HOME,140 PRESCOTT ST,NORTH ANDOVER,MA,1845,1826.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,123.0,,,,Healthcare
THE MEADOWS,575 OSGOOD ST,NORTH ANDOVER,MA,1845,1975.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,43.0,,,,Healthcare
MERRIMACK COLLEGE,315 TURNPIKE ST,NORTH ANDOVER,MA,1845,5806.0,25009,ESSEX,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,SODEXO,RELIGIOUS,>2000,,,,,Educational Instituions
SUTTON HILL NURSING CENTER,1801 TURNPIKE ST,NORTH ANDOVER,MA,1845,6322.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,132.0,,,,Healthcare
CAMP RUNELS-MACHAGAMEE,1740 TURNPIKE ST,NORTH ANDOVER,MA,1845,6323.0,25009,ESSEX,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Social Clubs
LOWELL HEALTHCARE CENTER,19 VARNUM ST,LOWELL,MA,1850,2132.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,157.0,PREMIER,,,Healthcare
TOWN COUNTRY NURSING CENTER,259 BALDWIN ST,LOWELL,MA,1851,2211.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,78.0,,,,Healthcare
WILLOW MANOR GENESIS HEALTHCARE,30 PRINCETON BLVD,LOWELL,MA,1851,2405.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,83.0,,,,Healthcare
BAILEY INTERNATIONAL ELEMENTARY SCHOOL,175 CAMPBELL DR,LOWELL,MA,1851,4530.0,25017,MIDDLESEX,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,,,,,Educational Instituions
LITTLE SPROUTS AT CROSS POINT,900 CHELMSFORD ST,LOWELL,MA,1851,8100.0,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
SAINTS MEDICAL CENTER,1 HOSPITAL DR,LOWELL,MA,1852,1311.0,25017,MIDDLESEX,1122.0,HOSPITALS,751-999,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SELF-OPERATED,UNCODED,>2000,76.8,PREMIER,UHC (University HealthSystem Consortium),"28,029",Healthcare
CENTER FOR FAMILY DEVELOPMENT-AODA PRGMS,45 MERRIMACK ST,LOWELL,MA,1852,1714.0,25017,MIDDLESEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
LOWELL PUBLIC SCHOOL DISTRICT,155 MERRIMACK ST,LOWELL,MA,1852,1723.0,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,1000+,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,,Government Services
SOUTH BAY EARLY INTERVENTION PRGM-AODA,77 E MERRIMACK ST,LOWELL,MA,1852,1900.0,25017,MIDDLESEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
LCHC BHVRL HLTH OTPTNT SBSTNC ABUSE SVC,17 WARREN ST,LOWELL,MA,1852,2216.0,25017,MIDDLESEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
LOWELL HOUSE-RESIDENTIAL SBSTNC ABUSE,102 APPLETON ST,LOWELL,MA,1852,2515.0,25017,MIDDLESEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
LOWELL FAMILY SERVICES-SUBSTANCE ABUSE,99 CHURCH ST,LOWELL,MA,1852,2621.0,25017,MIDDLESEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
COMMUNITY TEAMWORK HEAD START-CC,126 PHOENIX AVE,LOWELL,MA,1852,4931.0,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,,,,,Educational Instituions
DYOUVILLE SENIOR CARE,981 VARNUM AVE,LOWELL,MA,1854,1913.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,204.0,,,,Healthcare
LOWELL TREATMENT CENTER,391 VARNUM AVE,LOWELL,MA,1854,2119.0,25017,MIDDLESEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
FAIRHAVEN HEALTHCARE CENTER,476 VARNUM AVE,LOWELL,MA,1854,2122.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,159.0,,,,Healthcare
TCU AT LOWELL GENERAL HOSPITAL,295 VARNUM AVE,LOWELL,MA,1854,2134.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,25.0,,,,Healthcare
THE GRIP PROJECT RUNAWAY-HOMELESS,35 VARNUM AVE,LOWELL,MA,1854,2510.0,25017,MIDDLESEX,1122.0,RUNAWAY & HOMELESS CENTERS,UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Government Services
UNIVERSITY OF MASSACHUETTS-LOWELL,1 UNIVERSITY AVE,LOWELL,MA,1854,2827.0,25017,MIDDLESEX,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,ARAMARK,PUBLIC,>2000,,,,,Educational Instituions
CTI CHILDRENS CORNER DAY CARE CENTER,554 PAWTUCKET ST,LOWELL,MA,1854,3009.0,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
HABIT OPCO-SUBSTANCE ABUSE TREATMENT,650 SUFFOLK ST,LOWELL,MA,1854,3642.0,25017,MIDDLESEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
ST PATRICKS SCHOOL AND EDUCATIONAL CTR,311 ADAMS ST,LOWELL,MA,1854,3701.0,25017,MIDDLESEX,1122.0,PRIMARY SCHOOL,UNCODED,250 AND LESS,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,101 TO 250,,,,,Educational Instituions
LOWELL HOUSE-OTPTNT SUBSTANCE ABUSE SVCS,555 MERRIMACK ST,LOWELL,MA,1854,3906.0,25017,MIDDLESEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
LOWELL COUNCIL OF AGING SENIOR CENTER,276 BROADWAY ST,LOWELL,MA,1854,4121.0,25017,MIDDLESEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
FREDRICK N SWEETSIR ELEMENTARY SCHOOL,104 CHURCH ST,MERRIMAC,MA,1860,1528.0,25009,ESSEX,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,,,,,Educational Instituions
MERRIMAC SENIOR CENTER,100 E MAIN ST,MERRIMAC,MA,1860,1612.0,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
NEW ENGLAND PEDIATRIC CARE,78 BOSTON RD,NORTH BILLERICA,MA,1862,1034.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,74.0,,,,Healthcare
LIFE CARE CENTER-MERRIMACK VALLEY,80 BOSTON RD,NORTH BILLERICA,MA,1862,1034.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,115.0,,,,Healthcare
KINDERCARE LEARNING CENTER,179 BOSTON RD,NORTH BILLERICA,MA,1862,2320.0,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
CHELMSFORD SENIOR CENTER,75 GROTON RD,NORTH CHELMSFORD,MA,1863,1760.0,25017,MIDDLESEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
KNOWLEDGE BEGINNINGS RESEARCH PK,11 RESEARCH PL,NORTH CHELMSFORD,MA,1863,2412.0,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
MULBERRY CHILDCARE PRESCHOOL,48 MAIN ST,NORTH READING,MA,1864,2272.0,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,,PREMIER,,,Educational Instituions
EDITH A O LEARY SENIOR CENTER,157 PARK ST,NORTH READING,MA,1864,2303.0,25017,MIDDLESEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
